"BehaviorSpace results (NetLogo 6.0)"
"diffusion.nlogo"
"experiment"
"04/08/2019 21:48:53:577 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","rewiring-proportion","infect-seed-neighbors","number-of-nodes","average-node-degree","threshold-value","[step]","count turtles with [color = green]"
"6","0","true","500","4","1","85","345"
"2","0","true","500","4","1","93","377"
"7","0","true","500","4","1","70","285"
"3","0","true","500","4","1","104","421"
"4","0","true","500","4","1","80","325"
"8","0","true","500","4","1","75","305"
"6","0","true","500","4","1","86","349"
"7","0","true","500","4","1","71","289"
"2","0","true","500","4","1","94","381"
"3","0","true","500","4","1","105","425"
"4","0","true","500","4","1","81","329"
"8","0","true","500","4","1","76","309"
"6","0","true","500","4","1","87","353"
"7","0","true","500","4","1","72","293"
"3","0","true","500","4","1","106","429"
"8","0","true","500","4","1","77","313"
"4","0","true","500","4","1","82","333"
"2","0","true","500","4","1","95","385"
"6","0","true","500","4","1","88","357"
"7","0","true","500","4","1","73","297"
"3","0","true","500","4","1","107","433"
"8","0","true","500","4","1","78","317"
"4","0","true","500","4","1","83","337"
"6","0","true","500","4","1","89","361"
"7","0","true","500","4","1","74","301"
"1","0","true","500","4","1","2","13"
"3","0","true","500","4","1","108","437"
"6","0","true","500","4","1","90","365"
"8","0","true","500","4","1","79","321"
"7","0","true","500","4","1","75","305"
"4","0","true","500","4","1","84","341"
"6","0","true","500","4","1","91","369"
"2","0","true","500","4","1","96","389"
"8","0","true","500","4","1","80","325"
"3","0","true","500","4","1","109","441"
"7","0","true","500","4","1","76","309"
"4","0","true","500","4","1","85","345"
"6","0","true","500","4","1","92","373"
"8","0","true","500","4","1","81","329"
"3","0","true","500","4","1","110","445"
"7","0","true","500","4","1","77","313"
"8","0","true","500","4","1","82","333"
"6","0","true","500","4","1","93","377"
"3","0","true","500","4","1","111","449"
"7","0","true","500","4","1","78","317"
"8","0","true","500","4","1","83","337"
"6","0","true","500","4","1","94","381"
"3","0","true","500","4","1","112","453"
"4","0","true","500","4","1","86","349"
"2","0","true","500","4","1","97","393"
"7","0","true","500","4","1","79","321"
"8","0","true","500","4","1","84","341"
"6","0","true","500","4","1","95","385"
"3","0","true","500","4","1","113","457"
"4","0","true","500","4","1","87","353"
"8","0","true","500","4","1","85","345"
"7","0","true","500","4","1","80","325"
"6","0","true","500","4","1","96","389"
"3","0","true","500","4","1","114","461"
"8","0","true","500","4","1","86","349"
"6","0","true","500","4","1","97","393"
"8","0","true","500","4","1","87","353"
"7","0","true","500","4","1","81","329"
"3","0","true","500","4","1","115","465"
"6","0","true","500","4","1","98","397"
"8","0","true","500","4","1","88","357"
"3","0","true","500","4","1","116","469"
"2","0","true","500","4","1","98","397"
"7","0","true","500","4","1","82","333"
"6","0","true","500","4","1","99","401"
"8","0","true","500","4","1","89","361"
"3","0","true","500","4","1","117","473"
"4","0","true","500","4","1","88","357"
"7","0","true","500","4","1","83","337"
"6","0","true","500","4","1","100","405"
"8","0","true","500","4","1","90","365"
"3","0","true","500","4","1","118","477"
"4","0","true","500","4","1","89","361"
"6","0","true","500","4","1","101","409"
"7","0","true","500","4","1","84","341"
"8","0","true","500","4","1","91","369"
"3","0","true","500","4","1","119","481"
"4","0","true","500","4","1","90","365"
"6","0","true","500","4","1","102","413"
"7","0","true","500","4","1","85","345"
"3","0","true","500","4","1","120","485"
"8","0","true","500","4","1","92","373"
"6","0","true","500","4","1","103","417"
"7","0","true","500","4","1","86","349"
"3","0","true","500","4","1","121","489"
"8","0","true","500","4","1","93","377"
"6","0","true","500","4","1","104","421"
"7","0","true","500","4","1","87","353"
"3","0","true","500","4","1","122","493"
"8","0","true","500","4","1","94","381"
"6","0","true","500","4","1","105","425"
"3","0","true","500","4","1","123","497"
